t,phi,theta,phi_cmd,theta_cmd
3.548000,-0.000027,0.000002,0.000000,0.000000
3.556000,-0.000027,0.000002,0.000000,0.000000
3.564000,-0.000027,0.000002,0.000000,0.000000
3.572000,0.000045,-0.000037,0.000000,0.000000
3.580000,0.000045,-0.000037,0.000000,0.000000
3.592000,0.000070,-0.000056,0.000000,0.000000
3.600000,0.000070,-0.000056,0.000000,0.000000
3.608000,0.000074,-0.000096,0.000000,0.000000
3.616000,0.000074,-0.000096,0.000000,0.000000
3.624000,0.000093,-0.000074,0.000000,0.000000
3.632000,0.000093,-0.000074,0.000000,0.000000
3.640000,0.000093,-0.000074,0.000000,0.000000
3.648000,0.000052,-0.000101,0.000000,0.000000
3.656000,0.000052,-0.000101,0.000000,0.000000
3.664000,0.000057,-0.000141,0.000000,0.000000
3.672000,0.000057,-0.000141,0.000000,0.000000
3.680000,0.000057,-0.000141,0.000000,0.000000
3.692000,0.000079,-0.000106,0.000000,0.000000
3.700000,0.000079,-0.000106,0.000000,0.000000
3.708000,0.000018,-0.000034,0.000000,0.000000
3.716000,0.000018,-0.000034,0.000000,0.000000
3.724000,0.000018,-0.000034,0.000000,0.000000
3.732000,-0.000022,0.000044,0.000000,0.000000
3.740000,-0.000022,0.000044,0.000000,0.000000
3.748000,-0.000022,0.000026,0.000000,0.000000
3.756000,-0.000022,0.000026,0.000000,0.000000
3.764000,-0.000058,-0.000034,0.000000,0.000000
3.772000,-0.000058,-0.000034,0.000000,0.000000
3.780000,-0.000058,-0.000034,0.000000,0.000000
3.792000,-0.000050,-0.000034,0.000000,0.000000
3.800000,-0.000050,-0.000034,0.000000,0.000000
3.808000,-0.000033,-0.000000,0.000000,0.000000
3.816000,-0.000033,-0.000000,0.000000,0.000000
3.824000,-0.000013,0.000012,0.000000,0.000000
3.832000,-0.000013,0.000012,0.000000,0.000000
3.840000,-0.000013,0.000012,0.000000,0.000000
3.848000,-0.000006,0.000011,0.000000,0.000000
3.856000,-0.000006,0.000011,0.000000,0.000000
3.864000,0.000067,-0.000044,0.000000,0.000000
3.872000,0.000067,-0.000044,0.000000,0.000000
3.880000,0.000067,-0.000044,0.000000,0.000000
3.892000,0.000075,-0.000063,0.000000,0.000000
3.900000,0.000075,-0.000063,0.000000,0.000000
3.908000,0.000047,-0.000131,0.000000,0.000000
3.916000,0.000047,-0.000131,0.000000,0.000000
3.924000,0.000040,-0.000209,0.000000,0.000000
3.932000,0.000040,-0.000209,0.000000,0.000000
3.940000,0.000040,-0.000209,0.000000,0.000000
3.948000,0.000042,-0.000177,0.000000,0.000000
3.956000,0.000042,-0.000177,0.000000,0.000000
3.964000,0.000001,-0.000161,0.000000,0.000000
3.972000,0.000001,-0.000161,0.000000,0.000000
3.980000,0.000001,-0.000161,0.000000,0.000000
3.992000,0.000010,-0.000114,0.000000,0.000000
4.000000,0.000010,-0.000114,0.000000,0.000000
4.008000,0.000003,-0.000092,0.000000,0.000000
4.016000,0.000003,-0.000092,0.000000,0.000000
4.024000,-0.000012,-0.000094,0.000000,0.000000
4.032000,-0.000012,-0.000094,0.000000,0.000000
4.040000,-0.000012,-0.000094,0.000000,0.000000
4.048000,0.000006,-0.000083,0.000000,0.000000
4.056000,0.000006,-0.000083,0.000000,0.000000
4.064000,0.000015,-0.000056,0.000000,0.000000
4.072000,0.000015,-0.000056,0.000000,0.000000
4.080000,0.000015,-0.000056,0.000000,0.000000
4.092000,0.000008,0.000001,0.000000,0.000000
4.100000,0.000008,0.000001,0.000000,0.000000
4.108000,0.000017,-0.000027,0.000000,0.000000
4.116000,0.000017,-0.000027,0.000000,0.000000
4.124000,0.000017,-0.000027,0.000000,0.000000
4.132000,-0.000013,-0.000021,0.000000,0.000000
4.140000,-0.000013,-0.000021,0.000000,0.000000
4.148000,0.000027,0.000020,0.000000,0.000000
4.156000,0.000027,0.000020,0.000000,0.000000
4.164000,0.000027,0.000020,0.000000,0.000000
4.172000,0.000098,-0.000014,0.000000,0.000000
4.180000,0.000098,-0.000014,0.000000,0.000000
4.192000,0.000138,-0.000008,0.000000,0.000000
4.200000,0.000138,-0.000008,0.000000,0.000000
4.208000,0.000109,0.000009,0.000000,0.000000
4.216000,0.000109,0.000009,0.000000,0.000000
4.224000,0.000102,0.000004,0.000000,0.000000
4.232000,0.000102,0.000004,0.000000,0.000000
4.240000,0.000102,0.000004,0.000000,0.000000
4.248000,0.000108,0.000001,0.000000,0.000000
4.256000,0.000108,0.000001,0.000000,0.000000
4.264000,0.000108,0.000001,0.000000,0.000000
4.272000,0.000109,0.000031,0.000000,0.000000
4.280000,0.000109,0.000031,0.000000,0.000000
4.292000,0.000110,-0.000013,0.000000,0.000000
4.300000,0.000110,-0.000013,0.000000,0.000000
4.308000,0.000108,-0.000062,0.000000,0.000000
4.316000,0.000108,-0.000062,0.000000,0.000000
4.324000,0.000071,-0.000074,0.000000,0.000000
4.332000,0.000071,-0.000074,0.000000,0.000000
4.340000,0.000071,-0.000074,0.000000,0.000000
4.348000,0.000045,-0.000078,0.000000,0.000000
4.356000,0.000045,-0.000078,0.000000,0.000000
